Date,Product_ID,Product_Name,Category,Opening_Stock,Units_Sold,Stock_Received,Closing_Stock
2024-01-01,P115,Bluetooth Speaker V1,Electronics,251,1,4,254
2024-01-01,P125,Desk Lamp V2,Office,265,1,1,265
2024-01-01,P130,File Folder V1,Office,351,4,5,352
2024-01-01,P136,Water Bottle V1,Home,329,1,2,330
2024-01-01,P151,Cleaning Kit V1,Home,157,4,6,159
2024-01-02,P105,Keyboard V3,Electronics,245,2,5,248
2024-01-02,P117,Bluetooth Speaker V3,Electronics,263,2,2,263
2024-01-03,P167,Desk Mat V2,Accessories,298,2,6,302
2024-01-03,P178,Biscuits V1,Grocery,324,3,3,324
2024-01-04,P117,Bluetooth Speaker V3,Electronics,234,1,4,237
2024-01-04,P123,Office Chair V3,Office,67,3,2,66
2024-01-04,P133,Stapler V1,Office,62,1,6,67
2024-01-04,P155,Laptop Bag V2,Accessories,282,1,2,283
2024-01-05,P100,Wireless Mouse V1,Electronics,220,1,3,222
2024-01-05,P108,Headphones V3,Electronics,426,4,10,432
2024-01-05,P119,Notebook V2,Office,215,1,3,217
2024-01-05,P126,Desk Lamp V3,Office,282,3,4,283
2024-01-05,P131,File Folder V2,Office,226,1,4,229
2024-01-05,P165,Power Bank V3,Accessories,177,6,0,171
2024-01-06,P122,Office Chair V2,Office,202,2,4,204
2024-01-06,P127,Printer Paper V1,Office,414,2,3,415
2024-01-06,P135,Stapler V3,Office,320,4,5,321
2024-01-06,P141,Storage Box V3,Home,263,2,2,263
2024-01-06,P148,LED Bulb V1,Home,148,4,1,145
2024-01-06,P152,Cleaning Kit V2,Home,153,1,4,156
2024-01-06,P173,Coffee V2,Grocery,335,1,2,336
2024-01-07,P151,Cleaning Kit V1,Home,216,1,6,221
2024-01-07,P167,Desk Mat V2,Accessories,320,2,6,324
2024-01-08,P113,Webcam V2,Electronics,134,1,2,135
2024-01-08,P115,Bluetooth Speaker V1,Electronics,294,2,6,298
2024-01-08,P124,Desk Lamp V1,Office,181,1,7,187
2024-01-08,P175,Tea V1,Grocery,234,4,5,235
2024-01-09,P103,Keyboard V1,Electronics,170,4,7,173
2024-01-09,P105,Keyboard V3,Electronics,133,2,3,134
2024-01-09,P124,Desk Lamp V1,Office,276,3,4,277
2024-01-09,P128,Printer Paper V2,Office,217,2,6,221
2024-01-09,P136,Water Bottle V1,Home,333,1,6,338
2024-01-09,P147,Cushion V3,Home,198,1,4,201
2024-01-09,P163,Power Bank V1,Accessories,365,5,6,366
2024-01-10,P111,USB Hub V3,Electronics,295,4,5,296
2024-01-10,P112,Webcam V1,Electronics,273,4,5,274
2024-01-10,P123,Office Chair V3,Office,133,1,9,141
2024-01-10,P141,Storage Box V3,Home,280,4,1,277
2024-01-10,P159,Phone Case V3,Accessories,310,1,5,314
2024-01-10,P164,Power Bank V2,Accessories,203,1,8,210
2024-01-11,P104,Keyboard V2,Electronics,273,3,9,279
2024-01-11,P125,Desk Lamp V2,Office,286,3,6,289
2024-01-11,P138,Water Bottle V3,Home,213,1,3,215
2024-01-11,P147,Cushion V3,Home,205,2,6,209
2024-01-11,P150,LED Bulb V3,Home,126,5,5,126
2024-01-12,P103,Keyboard V1,Electronics,197,1,4,200
2024-01-12,P121,Office Chair V1,Office,294,10,4,288
2024-01-12,P134,Stapler V2,Office,229,3,5,231
2024-01-12,P139,Storage Box V1,Home,110,2,2,110
