Order_ID,Order_Date,Customer_ID,Product_ID,Product_Name,Category,Quantity,Selling_Price,Cost_Price,Discount_Percent,Gross_Sales,Discount_Amount,Revenue,Total_Cost,Profit,Profit_Margin_Percent,Payment_Mode,Sales_Channel,City
ORD100000,2026-02-22,C1082,P150,LED Bulb V3,Home,1,2960,2119,10.0,2960,296.0,2664.0,2119,545.0,20.46,Card,Online,Noida
ORD100001,2024-05-05,C1052,P174,Coffee V3,Grocery,1,1420,1012,15.0,1420,213.0,1207.0,1012,195.0,16.16,Cash,Online,Kanpur
ORD100002,2024-03-09,C1117,P158,Phone Case V2,Accessories,1,2660,1753,5.0,2660,133.0,2527.0,1753,774.0,30.63,UPI,Store,Kanpur
ORD100003,2025-07-12,C1166,P167,Desk Mat V2,Accessories,3,3170,2059,10.0,9510,951.0,8559.0,6177,2382.0,27.83,Card,Store,Lucknow
ORD100004,2025-02-07,C1028,P123,Office Chair V3,Office,3,4680,3454,10.0,14040,1404.0,12636.0,10362,2274.0,18.0,Net Banking,Online,Lucknow
ORD100005,2024-11-20,C1411,P161,Charging Cable V2,Accessories,2,2440,1541,0.0,4880,0.0,4880.0,3082,1798.0,36.84,UPI,Store,Prayagraj
ORD100006,2025-01-21,C1265,P134,Stapler V2,Office,1,5250,3976,10.0,5250,525.0,4725.0,3976,749.0,15.85,Card,Phone,Kanpur
ORD100007,2024-10-21,C1218,P128,Printer Paper V2,Office,1,2840,2176,5.0,2840,142.0,2698.0,2176,522.0,19.35,Card,Store,Jaipur
ORD100008,2025-04-27,C1366,P165,Power Bank V3,Accessories,1,1990,1688,20.0,1990,398.0,1592.0,1688,-96.0,-6.03,Card,Online,Mumbai
ORD100009,2025-04-25,C1351,P147,Cushion V3,Home,2,2180,1724,0.0,4360,0.0,4360.0,3448,912.0,20.92,UPI,Online,Noida
ORD100010,2024-09-22,C1308,P178,Biscuits V1,Grocery,2,1460,1162,10.0,2920,292.0,2628.0,2324,304.0,11.57,UPI,Store,Mumbai
ORD100011,2024-10-10,C1448,P144,Table Clock V3,Home,3,2960,2357,5.0,8880,444.0,8436.0,7071,1365.0,16.18,UPI,Store,Agra
ORD100012,2026-03-10,C1261,P147,Cushion V3,Home,3,2180,1724,15.0,6540,981.0,5559.0,5172,387.0,6.96,Cash,Online,Kanpur
ORD100013,2025-01-01,C1270,P103,Keyboard V1,Electronics,2,4190,2634,10.0,8380,838.0,7542.0,5268,2274.0,30.15,Card,Store,Kanpur
ORD100014,2024-06-18,C1433,P139,Storage Box V1,Home,2,2100,1652,15.0,4200,630.0,3570.0,3304,266.0,7.45,UPI,Online,Noida
ORD100015,2024-12-31,C1068,P142,Table Clock V1,Home,1,2610,1876,5.0,2610,130.5,2479.5,1876,603.5,24.34,Card,Store,Mumbai
ORD100016,2024-11-26,C1015,P147,Cushion V3,Home,3,2180,1724,5.0,6540,327.0,6213.0,5172,1041.0,16.76,UPI,Store,Lucknow
ORD100017,2026-05-19,C1320,P107,Headphones V2,Electronics,1,3120,2535,5.0,3120,156.0,2964.0,2535,429.0,14.47,Card,Phone,Agra
ORD100018,2026-05-06,C1294,P159,Phone Case V3,Accessories,4,1360,849,10.0,5440,544.0,4896.0,3396,1500.0,30.64,Card,Online,Prayagraj
